timestep,mean_ep_reward,mean_ep_len,mean_omega_norm_final,success_rate,mean_fuel
4554752,-397.81925049999995,4000.0,0.19767895264781699,0.0,6.05200719833374
4587520,-666.883909625,4000.0,0.2777299574936416,0.0,5.8925095200538635
4620288,-579.4124883750001,4000.0,0.2786876812411302,0.0,7.754242181777954
4653056,-518.8390227499999,4000.0,0.20239423952407215,0.0,7.570334434509277
4685824,-570.060719125,4000.0,0.2149611087349357,0.0,5.969247490167618
4718592,-362.77231812499997,4000.0,0.18337713477894282,0.0,6.896850943565369
4751360,-524.9744741249999,4000.0,0.2364322568032275,0.0,7.112211346626282
4784128,-534.5234190000001,4000.0,0.23673515629493874,0.0,6.923831343650818
4816896,-528.2424895,4000.0,0.2279741402947526,0.0,7.51932892203331
4849664,-502.41029100000003,4000.0,0.23152401864671937,0.0,6.454886823892593
4882432,-721.95755925,4000.0,0.29835656995518234,0.0,6.5470485389232635
4915200,-638.2201418750001,4000.0,0.27102978018314205,0.0,7.655450642108917
4947968,-616.6599482500001,4000.0,0.2546498244448589,0.0,7.96440327167511
4980736,-488.68616225000005,4000.0,0.1740937896098059,0.0,7.124712109565735
5013504,-554.5061535,4000.0,0.24757892585818947,0.0,7.374726355075836
5046272,-458.13216324999996,4000.0,0.17890257427822343,0.0,7.344322025775909
5079040,-388.613547,4000.0,0.17563131735195422,0.0,7.113180935382843
5111808,-396.58192675,4000.0,0.13543748859591148,0.0,7.161392331123352
5144576,-499.657925375,4000.0,0.2084710185741809,0.0,5.817601501941681
5177344,-589.803519375,4000.0,0.23612992729698423,0.0,7.039212703704834
5210112,-560.079545875,4000.0,0.2216094296672529,0.0,7.817550778388977
5242880,-503.523316,4000.0,0.2277025193841461,0.0,6.362810969352722
5275648,-432.13417325,4000.0,0.16469787807894987,0.0,6.698957055807114
5308416,-398.86577325,4000.0,0.1446360825480113,0.0,6.155534029006958
5341184,-530.5560423750001,4000.0,0.22998314400523312,0.0,6.961290895938873
5373952,-590.5640115,4000.0,0.23860400137840562,0.0,6.002839237451553
5406720,-491.31455225,4000.0,0.18929767494536218,0.0,5.887537896633148
5439488,-373.429937625,4000.0,0.15776443972889143,0.0,6.765721559524536
5472256,-472.7602661875,4000.0,0.19960364970219177,0.0,6.3378503024578094
5505024,-438.565641,3815.75,0.1602746774616659,0.125,7.606420695781708
5537792,-503.49216675,4000.0,0.19972723911880716,0.0,7.346735656261444
5570560,-481.779203,4000.0,0.19258604970633258,0.0,6.739981949329376
5603328,-414.650806625,3955.375,0.1387376103601081,0.125,7.918032646179199
5636096,-484.506716,4000.0,0.21859024733242172,0.0,7.735901236534119
5668864,-481.257942625,4000.0,0.1730755327673717,0.0,6.1553734838962555
5701632,-585.604123875,4000.0,0.20992004884495954,0.0,6.421624422073364
5734400,-442.26838275,4000.0,0.1559007948923919,0.0,7.007683455944061
5767168,-583.78828125,4000.0,0.24037486129254476,0.0,7.4768675565719604
5799936,-392.037500625,4000.0,0.19157819879096327,0.0,7.292028307914734
5832704,-514.90889825,4000.0,0.1987135288849617,0.0,7.0952340960502625
5865472,-555.990846375,4000.0,0.20671756874532382,0.0,6.991665482521057
5898240,-333.36764037499995,4000.0,0.1485884112305223,0.0,6.32725265622139
5931008,-436.448843125,4000.0,0.15907253781345682,0.0,7.526324152946472
5963776,-482.669701875,4000.0,0.17655424491436422,0.0,6.301142364740372
5996544,-532.540006875,4000.0,0.197072012256186,0.0,6.160775065422058
6029312,-487.08974249999994,3983.125,0.16023150981295342,0.125,7.1851484179496765
6062080,-311.454738625,4000.0,0.14622223636589265,0.0,5.580795347690582
6094848,-444.51633675000005,4000.0,0.16879876774540642,0.0,7.575895190238953
6127616,-529.826945625,4000.0,0.2110669867494851,0.0,6.465912580490112
6160384,-431.06449499999997,4000.0,0.17680456825109986,0.0,6.80391663312912
6193152,-406.839375125,4000.0,0.15689046497603618,0.0,7.702576279640198
6225920,-434.472023625,4000.0,0.17536673055602653,0.0,7.8140013217926025
6258688,-650.7701418749999,4000.0,0.26332926626908093,0.0,7.932812333106995
6291456,-492.64645025,4000.0,0.20957442093225206,0.0,6.913070946931839
6324224,-514.5352301111111,4000.0,0.20867937901289935,0.0,6.50233597225613
6356992,-679.94765725,4000.0,0.28316394219943464,0.0,7.4627004861831665
6389760,-440.38432424999996,4000.0,0.19051420486162585,0.0,8.383382201194763
6422528,-370.86766612499997,4000.0,0.16169532245997248,0.0,5.825093567371368
6455296,-536.8237288749999,4000.0,0.20660184170272947,0.0,7.049401521682739
6488064,-383.074916125,4000.0,0.16272890562146647,0.0,7.303738713264465
6520832,-475.981583,4000.0,0.18103125186271132,0.0,7.130308389663696
6553600,-613.828875375,4000.0,0.23258020214935435,0.0,6.733969867229462
6586368,-487.17245899999995,4000.0,0.1868932344932253,0.0,7.17012494802475
6619136,-373.214263,4000.0,0.12464502569941291,0.0,6.403457224369049
6651904,-303.33088175,3983.0,0.11179489348931987,0.125,6.880716264247894
6684672,-386.49276462499995,4000.0,0.1648436592170251,0.0,7.711214780807495
6717440,-469.38093710000004,3949.5,0.20093566253804057,0.1,7.206666469573975
6750208,-387.854798,4000.0,0.1594168045882204,0.0,5.5350512862205505
6782976,-433.27223222222227,3922.5555555555557,0.15631892933630012,0.1111111111111111,7.145494196150038
6815744,-461.20824100000004,4000.0,0.17115952592323655,0.0,6.54746800661087
6848512,-387.95046858333336,4000.0,0.17359547917367327,0.0,6.897530714670817
6881280,-379.599848125,4000.0,0.16387695732218432,0.0,7.4938996732234955
6914048,-370.4237865,4000.0,0.16940282910390048,0.0,7.790558606386185
6946816,-521.0443385,4000.0,0.17920496034687894,0.0,6.051118016242981
6979584,-403.157122375,4000.0,0.14288014488718687,0.0,7.366150975227356
7012352,-393.96737075,4000.0,0.14585105585155136,0.0,6.779969215393066
7045120,-413.91281875000004,4000.0,0.1374981939550607,0.0,7.110897243022919
7077888,-343.23616925,4000.0,0.1394188881501331,0.0,7.776529431343079
7110656,-603.4296904999999,4000.0,0.19451476723473715,0.0,5.426000714302063
7143424,-428.96157325,4000.0,0.1520330723564115,0.0,6.830013155937195
7176192,-481.555783,4000.0,0.18732521382596362,0.0,7.565814554691315
7208960,-490.234987375,4000.0,0.17119561346109485,0.0,6.476684093475342
7241728,-442.503342375,3887.75,0.15275983684187933,0.125,5.687985479831696
7274496,-508.376369125,4000.0,0.19844118280534115,0.0,6.628149896860123
